,value
366,systolic_blood_pressure_automated_reading_f4080_2_1
367,method_of_measuring_blood_pressure_f4081_0_0
368,method_of_measuring_blood_pressure_f4081_0_1
369,method_of_measuring_blood_pressure_f4081_1_0
370,method_of_measuring_blood_pressure_f4081_1_1
371,method_of_measuring_blood_pressure_f4081_2_0
372,method_of_measuring_blood_pressure_f4081_2_1
373,average_monthly_red_wine_intake_f4407_0_0
374,average_monthly_red_wine_intake_f4407_1_0
375,average_monthly_red_wine_intake_f4407_2_0
376,average_monthly_champagne_plus_white_wine_intake_f4418_0_0
377,average_monthly_champagne_plus_white_wine_intake_f4418_1_0
378,average_monthly_champagne_plus_white_wine_intake_f4418_2_0
379,average_monthly_beer_plus_cider_intake_f4429_0_0
380,average_monthly_beer_plus_cider_intake_f4429_1_0
381,average_monthly_beer_plus_cider_intake_f4429_2_0
382,average_monthly_spirits_intake_f4440_0_0
383,average_monthly_spirits_intake_f4440_1_0
384,average_monthly_spirits_intake_f4440_2_0
385,average_monthly_fortified_wine_intake_f4451_0_0
386,average_monthly_fortified_wine_intake_f4451_1_0
387,average_monthly_fortified_wine_intake_f4451_2_0
388,average_monthly_intake_of_other_alcoholic_drinks_f4462_0_0
389,average_monthly_intake_of_other_alcoholic_drinks_f4462_1_0
390,average_monthly_intake_of_other_alcoholic_drinks_f4462_2_0
391,happiness_f4526_0_0
392,happiness_f4526_1_0
393,happiness_f4526_2_0
394,workjob_satisfaction_f4537_0_0
395,workjob_satisfaction_f4537_1_0
396,workjob_satisfaction_f4537_2_0
397,health_satisfaction_f4548_0_0
398,health_satisfaction_f4548_1_0
399,health_satisfaction_f4548_2_0
400,family_relationship_satisfaction_f4559_0_0
401,family_relationship_satisfaction_f4559_1_0
402,family_relationship_satisfaction_f4559_2_0
403,friendships_satisfaction_f4570_0_0
404,friendships_satisfaction_f4570_1_0
405,friendships_satisfaction_f4570_2_0
406,financial_situation_satisfaction_f4581_0_0
407,financial_situation_satisfaction_f4581_1_0
408,financial_situation_satisfaction_f4581_2_0
409,ever_depressed_for_a_whole_week_f4598_0_0
410,ever_depressed_for_a_whole_week_f4598_1_0
411,ever_depressed_for_a_whole_week_f4598_2_0
412,longest_period_of_depression_f4609_0_0
413,longest_period_of_depression_f4609_1_0
414,longest_period_of_depression_f4609_2_0
415,number_of_depression_episodes_f4620_0_0
416,number_of_depression_episodes_f4620_1_0
417,number_of_depression_episodes_f4620_2_0
418,ever_unenthusiasticdisinterested_for_a_whole_week_f4631_0_0
419,ever_unenthusiasticdisinterested_for_a_whole_week_f4631_1_0
420,ever_unenthusiasticdisinterested_for_a_whole_week_f4631_2_0
421,ever_manichyper_for_2_days_f4642_0_0
422,ever_manichyper_for_2_days_f4642_1_0
423,ever_manichyper_for_2_days_f4642_2_0
424,ever_highly_irritableargumentative_for_2_days_f4653_0_0
425,ever_highly_irritableargumentative_for_2_days_f4653_1_0
426,ever_highly_irritableargumentative_for_2_days_f4653_2_0
427,leg_pain_on_walking_f4728_0_0
428,leg_pain_on_walking_f4728_1_0
429,leg_pain_on_walking_f4728_2_0
430,average_weekly_intake_of_other_alcoholic_drinks_f5364_0_0
431,average_weekly_intake_of_other_alcoholic_drinks_f5364_1_0
432,average_weekly_intake_of_other_alcoholic_drinks_f5364_2_0
433,longest_period_of_unenthusiasm_disinterest_f5375_0_0
434,longest_period_of_unenthusiasm_disinterest_f5375_1_0
435,longest_period_of_unenthusiasm_disinterest_f5375_2_0
436,number_of_unenthusiasticdisinterested_episodes_f5386_0_0
437,number_of_unenthusiasticdisinterested_episodes_f5386_1_0
438,number_of_unenthusiasticdisinterested_episodes_f5386_2_0
439,leg_pain_when_standing_still_or_sitting_f5452_0_0
440,leg_pain_when_standing_still_or_sitting_f5452_1_0
441,leg_pain_when_standing_still_or_sitting_f5452_2_0
442,leg_pain_in_calfcalves_f5463_0_0
443,leg_pain_in_calfcalves_f5463_1_0
444,leg_pain_in_calfcalves_f5463_2_0
445,leg_pain_when_walking_uphill_or_hurrying_f5474_0_0
446,leg_pain_when_walking_uphill_or_hurrying_f5474_1_0
447,leg_pain_when_walking_uphill_or_hurrying_f5474_2_0
448,leg_pain_when_walking_normally_f5485_0_0
449,leg_pain_when_walking_normally_f5485_1_0
450,leg_pain_when_walking_normally_f5485_2_0
451,leg_pain_when_walking_ever_disappears_while_walking_f5496_0_0
452,leg_pain_when_walking_ever_disappears_while_walking_f5496_1_0
453,leg_pain_when_walking_ever_disappears_while_walking_f5496_2_0
454,leg_pain_on_walking_action_taken_f5507_0_0
455,leg_pain_on_walking_action_taken_f5507_1_0
456,leg_pain_on_walking_action_taken_f5507_2_0
457,leg_pain_on_walking_effect_of_standing_still_f5518_0_0
458,leg_pain_on_walking_effect_of_standing_still_f5518_1_0
459,leg_pain_on_walking_effect_of_standing_still_f5518_2_0
460,surgery_on_leg_arteries_other_than_for_varicose_veins_f5529_0_0
461,surgery_on_leg_arteries_other_than_for_varicose_veins_f5529_1_0
462,surgery_on_leg_arteries_other_than_for_varicose_veins_f5529_2_0
463,surgeryamputation_of_toe_or_leg_f5540_0_0
464,surgeryamputation_of_toe_or_leg_f5540_1_0
465,surgeryamputation_of_toe_or_leg_f5540_2_0
466,length_of_longest_manicirritable_episode_f5663_0_0
467,length_of_longest_manicirritable_episode_f5663_1_0
468,length_of_longest_manicirritable_episode_f5663_2_0
469,severity_of_manicirritable_episodes_f5674_0_0
470,severity_of_manicirritable_episodes_f5674_1_0
471,severity_of_manicirritable_episodes_f5674_2_0
472,never_eat_eggs_dairy_wheat_sugar_f6144_0_0
473,never_eat_eggs_dairy_wheat_sugar_f6144_0_1
474,never_eat_eggs_dairy_wheat_sugar_f6144_0_2
475,never_eat_eggs_dairy_wheat_sugar_f6144_0_3
476,never_eat_eggs_dairy_wheat_sugar_f6144_1_0
477,never_eat_eggs_dairy_wheat_sugar_f6144_1_1
478,never_eat_eggs_dairy_wheat_sugar_f6144_1_2
479,never_eat_eggs_dairy_wheat_sugar_f6144_1_3
480,never_eat_eggs_dairy_wheat_sugar_f6144_2_0
481,never_eat_eggs_dairy_wheat_sugar_f6144_2_1
482,never_eat_eggs_dairy_wheat_sugar_f6144_2_2
483,never_eat_eggs_dairy_wheat_sugar_f6144_2_3
484,illness_injury_bereavement_stress_in_last_2_years_f6145_0_0
485,illness_injury_bereavement_stress_in_last_2_years_f6145_0_1
486,illness_injury_bereavement_stress_in_last_2_years_f6145_0_2
487,illness_injury_bereavement_stress_in_last_2_years_f6145_0_3
488,illness_injury_bereavement_stress_in_last_2_years_f6145_0_4
489,illness_injury_bereavement_stress_in_last_2_years_f6145_0_5
490,illness_injury_bereavement_stress_in_last_2_years_f6145_1_0
491,illness_injury_bereavement_stress_in_last_2_years_f6145_1_1
492,illness_injury_bereavement_stress_in_last_2_years_f6145_1_2
493,illness_injury_bereavement_stress_in_last_2_years_f6145_1_3
494,illness_injury_bereavement_stress_in_last_2_years_f6145_1_4
495,illness_injury_bereavement_stress_in_last_2_years_f6145_1_5
496,illness_injury_bereavement_stress_in_last_2_years_f6145_2_0
497,illness_injury_bereavement_stress_in_last_2_years_f6145_2_1
498,illness_injury_bereavement_stress_in_last_2_years_f6145_2_2
499,illness_injury_bereavement_stress_in_last_2_years_f6145_2_3
500,illness_injury_bereavement_stress_in_last_2_years_f6145_2_4
501,illness_injury_bereavement_stress_in_last_2_years_f6145_2_5
502,vascularheart_problems_diagnosed_by_doctor_f6150_0_0
503,vascularheart_problems_diagnosed_by_doctor_f6150_0_1
504,vascularheart_problems_diagnosed_by_doctor_f6150_0_2
505,vascularheart_problems_diagnosed_by_doctor_f6150_0_3
506,vascularheart_problems_diagnosed_by_doctor_f6150_1_0
507,vascularheart_problems_diagnosed_by_doctor_f6150_1_1
508,vascularheart_problems_diagnosed_by_doctor_f6150_1_2
509,vascularheart_problems_diagnosed_by_doctor_f6150_1_3
510,vascularheart_problems_diagnosed_by_doctor_f6150_2_0
511,vascularheart_problems_diagnosed_by_doctor_f6150_2_1
512,vascularheart_problems_diagnosed_by_doctor_f6150_2_2
513,vascularheart_problems_diagnosed_by_doctor_f6150_2_3
514,fractured_bone_sites_f6151_0_0
515,fractured_bone_sites_f6151_0_1
516,fractured_bone_sites_f6151_0_2
517,fractured_bone_sites_f6151_0_3
518,fractured_bone_sites_f6151_0_4
519,fractured_bone_sites_f6151_0_5
520,fractured_bone_sites_f6151_0_6
521,fractured_bone_sites_f6151_1_0
522,fractured_bone_sites_f6151_1_1
523,fractured_bone_sites_f6151_1_2
524,fractured_bone_sites_f6151_1_3
525,fractured_bone_sites_f6151_1_4
526,fractured_bone_sites_f6151_1_5
527,fractured_bone_sites_f6151_1_6
528,fractured_bone_sites_f6151_2_0
529,fractured_bone_sites_f6151_2_1
530,fractured_bone_sites_f6151_2_2
531,fractured_bone_sites_f6151_2_3
532,fractured_bone_sites_f6151_2_4
533,fractured_bone_sites_f6151_2_5
534,fractured_bone_sites_f6151_2_6
535,blood_clot_dvt_bronchitis_emphysema_asthma_rhinitis_eczema_allergy_diagnosed_by_doctor_f6152_0_0
536,blood_clot_dvt_bronchitis_emphysema_asthma_rhinitis_eczema_allergy_diagnosed_by_doctor_f6152_0_1
537,blood_clot_dvt_bronchitis_emphysema_asthma_rhinitis_eczema_allergy_diagnosed_by_doctor_f6152_0_2
538,blood_clot_dvt_bronchitis_emphysema_asthma_rhinitis_eczema_allergy_diagnosed_by_doctor_f6152_0_3
539,blood_clot_dvt_bronchitis_emphysema_asthma_rhinitis_eczema_allergy_diagnosed_by_doctor_f6152_0_4
540,blood_clot_dvt_bronchitis_emphysema_asthma_rhinitis_eczema_allergy_diagnosed_by_doctor_f6152_1_0
541,blood_clot_dvt_bronchitis_emphysema_asthma_rhinitis_eczema_allergy_diagnosed_by_doctor_f6152_1_1
542,blood_clot_dvt_bronchitis_emphysema_asthma_rhinitis_eczema_allergy_diagnosed_by_doctor_f6152_1_2
